inactivation duration(ms),Average normalised peak current,SD
10,1,0
40,0.842491311,0.058067599
70,0.762884308,0.061361687
100,0.713501612,0.066894335
130,0.646881749,0.08171674
160,0.610030392,0.090321936
190,0.564387495,0.079434839
220,0.525104336,0.089661746
250,0.497397312,0.088206289
280,0.472470996,0.083245017
310,0.441121802,0.09159465
340,0.41291854,0.101562042
370,0.387716007,0.092256128
400,0.382204287,0.088297186
430,0.356117423,0.092581464
460,0.339179449,0.08256456
490,0.31556437,0.088395618
520,0.302576055,0.09073499
550,0.278679006,0.095277993
580,0.278976964,0.089561334
