pre-pulse voltage (mV),Average normalised peak current,SD
-90,0.00195103,0.001537401
-80,0.003243331,0.001825641
-70,0.003056908,0.001980661
-60,0.001982176,0.000805854
-50,0.004261055,0.001446877
-40,0.010695288,0.006028645
-30,0.043986692,0.018235719
-20,0.107057894,0.027920515
-10,0.199619911,0.039678722
0,0.3210267,0.068753872
10,0.443311346,0.051422077
20,0.597898979,0.062768241
30,0.72167165,0.06088418
40,0.821196388,0.049356685
50,0.90322726,0.014952287
60,0.937327973,0.017045482
70,0.969894272,0.008299898
80,0.989691573,0.003153688
90,1,0
